,Unnamed: 0,user_id,condnum,iso_time,prolific_id,gender,age,nationality,education,experience,eating_habits,goal,restrictions,american,european,other_continent
27,30,1012594397051,3,2021-03-13T17:19:46.046Z,5f82e997eec0860404c8f790,female,22,Portuguese,3,cmedium,neutral,none,vegan,0,European,0
28,31,38134847070,3,2021-03-13T17:19:19.296Z,5efcb513fe36e909073b1a43,male,55,UK,6,cmedium,neutral,lweight,none,0,0,Other
29,32,640775123952,3,2021-03-13T17:19:44.439Z,5f0f93d606d4751826e6c09d,female,25,Mexican,3,cmedium,healthy,lweight,none,0,0,Other
30,33,686680542757,3,2021-03-13T17:19:18.868Z,603698d6a7c474bafcf7382c,female,23,Polish,2,chigh,neutral,lweight,none,0,European,0
31,34,1009218933311,3,2021-03-13T17:19:33.294Z,5e9da6db8c05470a3101513d,male,19,UK,2,cmedium,healthy,"protein,salt,fruit,vegetables",none,0,0,Other
32,35,1238395881566,3,2021-03-13T17:19:48.617Z,603f94b4d96df204ccd1f66d,male,21,Portuguese,3,cmedium,unhealthy,"salt,vegetables",none,0,European,0
33,36,1050968331489,3,2021-03-13T17:20:00.373Z,5c1161934be31a0001480d22,male,31,Portuguese,3,clow,neutral,none,none,0,European,0
34,37,224649519782,3,2021-03-13T17:19:36.297Z,5fb2cf3bd6498b950b65aca6,male,37,Polish,4,chigh,neutral,none,none,0,European,0
35,38,26982634296,3,2021-03-13T17:20:17.616Z,5bfc1bb60ca8e900017f29df,female,40,UK,5,cmedium,neutral,lweight,vegan,0,0,Other
36,39,457660105087,3,2021-03-13T17:20:08.157Z,5eaac550c2e646012d6ca899,male,26,French,4,cmedium,unhealthy,gweight,halal,0,European,0
37,40,58487602728,3,2021-03-13T17:19:53.690Z,5892318a046bbb0001a52f3d,male,32,French,4,cmedium,neutral,"protein,vegetables,Lose fat",none,0,European,0
38,41,211701488051,3,2021-03-13T17:20:35.568Z,5af4f14f86fd9c0001664a21,male,30,Polish,3,cmedium,neutral,none,none,0,European,0
39,42,798337383495,3,2021-03-13T17:20:47.611Z,60363bdf512cae5da90bc695,female,20,English,3,cmedium,healthy,"protein,lweight",none,0,European,0
40,43,398168009362,3,2021-03-13T17:20:38.149Z,5f8ef5cf036fa50c4aba6a615f8ef5cf036fa50c4aba6a61,female,31,Polish,4,clow,neutral,"lweight,eat less sugar",none,0,European,0
41,44,1502105134485,3,2021-03-13T17:21:03.281Z,5e3d775997fe04000b4c65f8,male,22,Polish,2,clow,healthy,none,none,0,European,0
42,45,288372222888,3,2021-03-13T17:21:16.913Z,5e5ba15d2bd7a6371984f400,female,26,Portuguese,4,cmedium,neutral,none,none,0,European,0
43,46,1164708065233,3,2021-03-13T17:21:00.493Z,5ca333ab8001d50001c68a29,female,22,Polish,2,chigh,healthy,"salt,fruit,vegetables",none,0,European,0
44,47,30238281643,3,2021-03-13T17:20:56.662Z,5c37be1aa9872700014c6c80,male,32,Danish,2,clow,healthy,none,none,0,European,0
45,48,764267965210,3,2021-03-13T17:21:00.029Z,5fd8d7e42ce9082dd7998e6d,male,23,Portuguese,2,cmedium,unhealthy,"gweight,none",none,0,European,0
46,49,928884443096,3,2021-03-13T17:21:23.684Z,5ddeefcd1228d9e622e46442,female,21,Portuguese,2,chigh,neutral,none,none,0,European,0
47,50,620770308516,3,2021-03-13T17:21:37.175Z,5cdd82dba147210019aefd6e,female,36,Portuguese,4,cmedium,neutral,none,,0,European,0
48,51,408267260196,3,2021-03-13T17:19:41.526Z,601b1876d8db9349107ad10c,female,19,Spanish ,2,clow,neutral,"fruit,vegetables,lweight",none,0,European,0
49,52,833387827963,3,2021-03-13T17:22:03.794Z,5fd94d3d2ce90843fcb81f36,male,36,UK,3,cmedium,neutral,lweight,none,0,0,Other
50,53,1383708144190,3,2021-03-13T17:22:18.529Z,60465c0f857ebd000a4c95b6,male,20,Polish,2,cmedium,healthy,"protein,gweight",none,0,European,0
51,55,1357562898091,3,2021-03-13T17:22:18.828Z,5fd367199ff02b029312d60e,male,22,Greek,2,clow,neutral,lweight,none,0,European,0
52,56,610734241300,3,2021-03-13T17:23:17.766Z,5dc67a3384116a4b24fdfc39,male,36,American,3,cmedium,neutral,"fruit,vegetables",none,American,0,0
53,57,229971989655,3,2021-03-13T17:22:01.288Z,5fe85d683cc53c71223cb1e7,male,18,slovenian,1,cverylow,vunhealthy,"protein,salt,fruit,vegetables,lweight",none,0,European,0
54,58,1064133208406,3,2021-03-13T17:22:30.988Z,5f035e7905e44454f588a218,male,19,Portuguese,2,clow,healthy,"salt,vegetables",none,0,European,0
55,59,1566259835096,3,2021-03-13T17:22:20.068Z,5fb13b4905eae9155b4d62df,female,18,Polish,2,cmedium,unhealthy,lweight,none,0,European,0
56,60,180004225304,3,2021-03-13T17:22:42.607Z,5ac9c4415cd1050001626162,male,31,Mexican,3,clow,healthy,"fruit,vegetables,lweight",none,0,0,Other
57,61,3275449711,3,2021-03-13T17:21:20.754Z,602c40fc6ef6bd509c29a25f,male,21,UK,2,chigh,healthy,"protein,salt,fruit,vegetables",none,0,0,Other
