user_id,condnum,iso_time,prolific_id,gender,age,nationality,education,experience,eating_habits,goal,restrictions
3275449711,3,2021-03-13T17:21:20.754Z,602c40fc6ef6bd509c29a25f,male,21,Polish,2,chigh,healthy,"[""protein"",""salt"",""fruit"",""vegetables""]","[""none""]"
230566114151,3,2021-03-13T17:19:53.741Z,5d3c849841fc550016ff50af,female,43,Bolivia,5,chigh,vhealhty,"[""none""]","[""none""]"
1510616027373,3,2021-03-13T17:22:51.015Z,5bdc4f6a3c0f810001abb90e,male,25,Italian,2,cmedium,neutral,"[""vegetables"",""lweight""]","[""none""]"
67618582769,3,2021-03-13T17:23:44.448Z,59eb8c106100f9000194aa47,female,24,Italy,4,cmedium,healthy,"[""lweight""]","[""none""]"
300932455547,3,2021-03-13T17:22:58.567Z,5dac9b59c19ff3001716c30d,female,33,Turkish,3,cmedium,neutral,"[""none""]","[""none""]"
1257676047835,3,2021-03-13T17:22:20.013Z,604c5fc03fe63b6ce2d0a92f,female,25,mexican,3,cmedium,healthy,"[""lweight""]","[""none""]"
1139135424765,3,2021-03-13T17:22:49.768Z,5eec65b6f9a5a948009b923f,male,24,Greek,3,chigh,healthy,"[""gweight""]","[""none""]"
728317954872,3,2021-03-13T17:21:13.959Z,5f130a4d0576a615ce9aa9c7,female,21,Sierra Leonean,2,chigh,neutral,"[""vegetables""]","[""none""]"
974854403033,3,2021-03-13T17:22:49.887Z,603003d8ef81cedec8767d86,male,20,Portuguese,2,cmedium,neutral,"[""fruit"",""lweight""]","[""none""]"
1520887623625,3,2021-03-13T17:23:29.013Z,601829114a6f8201fbc23287,female,19,Polish,2,cmedium,neutral,"[""protein"",""salt"",""fruit"",""vegetables"",""lweight""]","[""vegan""]"
1095828064613,3,2021-03-13T17:22:34.647Z,5ce8004575db4d0019dee645,female,47,Portuguese,3,cmedium,healthy,"[""protein"",""vegetables"",""lweight""]","[""Paleo low carb""]"
1413207365051,3,2021-03-13T17:23:54.898Z,59eb8c106100f9000194aa47,female,24,Italy,4,cmedium,healthy,"[""lweight""]","[""none""]"
226442394480,3,2021-03-13T17:23:40.066Z,5fba752247aaee7c0e68e6d0,female,21,Portuguese,2,chigh,healthy,"[""fruit"",""vegetables"",""lweight""]","[""pescatarian""]"
